Designator	Footprint	MidX	MidY	TB	Rotation	Comment
U5	TSSOP16	7569.882	3396.654	B	90.00	SN65LVDS349
U9	TSSOP16	7806.102	8593.504	B	90.00	SN65LVDS349
U4	TSSOP16	7981.299	3160.433	B	180.00	SN65LVDS349
U8	TSSOP16	8199.803	9026.575	B	360.00	SN65LVDS349
U3	TSSOP16	8355.315	3160.433	B	180.00	SN65LVDS349
U7	TSSOP16	8573.819	9026.575	B	360.00	SN65LVDS349
U2	TSSOP16	8729.331	3160.433	B	180.00	SN65LVDS349
U6	TSSOP16	8947.835	9026.575	B	360.00	SN65LVDS349
U14	VO48_N	8986.22	7811.024	B	270.00	XCF32PVO48C
U1	FFG1148	9271.654	6161.417	B	180.00	XC4VLX60-10FFG1148I
Usup_ch9	TO-252	1299.212	10214.567	T	180.00	LD1117-1.8V
Usup_ch1	TO-252	1555.119	2163.346	T	180.00	LD1117-1.8V
Usup_ch10	TO-252	2099.212	10214.606	T	180.00	LD1117-1.8V
Usup_ch2	TO-252	2355.119	2163.346	T	180.00	LD1117-1.8V
Usup_ch11	TO-252	2899.212	10214.567	T	180.00	LD1117-1.8V
Usup_ch3	TO-252	3155.119	2163.346	T	180.00	LD1117-1.8V
Usup_ch12	TO-252	3699.212	10214.527	T	180.00	LD1117-1.8V
Usup_ch4	TO-252	3955.119	2163.346	T	180.00	LD1117-1.8V
Usup_ch13	TO-252	4499.212	10214.527	T	180.00	LD1117-1.8V
Usup_ch5	TO-252	4755.119	2163.346	T	180.00	LD1117-1.8V
Usup_ch14	TO-252	5299.212	10214.527	T	180.00	LD1117-1.8V
Usup_ch6	TO-252	5555.119	2163.346	T	180.00	LD1117-1.8V
Usup_ch15	TO-252	6099.212	10214.527	T	180.00	LD1117-1.8V
Usup_ch7	TO-252	6355.119	2163.346	T	180.00	LD1117-1.8V
Usup_ch16	TO-252	6899.212	10214.527	T	180.00	LD1117-1.8V
Usup_ch8	TO-252	7155.119	2163.346	T	180.00	LD1117-1.8V
Usup5	TO-252	11732.283	2785.042	T	0.00	LD1117-1.2
Usup4	TO-252	11181.101	2096.064	T	0.00	LD1117-1.8V
Usup3	TO-252	11181.101	2785.041	T	0.00	LD1117-2.5V
Usup2	TO-252	11732.283	2096.064	T	0.00	LD1117-2.5V
Usup1	TO-252	10437.089	9822.837	T	270.00	NCP1117-3.3V
						
InChCon1	FX2CA2-052S-1.27DSAL(71)	1303.937	3607.283	T	90.00	FX2CA2-052S-1.27DSAL(71)
InChCon9	FX2CA2-052S-1.27DSAL(71)	1303.937	8853.347	T	90.00	FX2CA2-052S-1.27DSAL(71)
InChCon2	FX2CA2-052S-1.27DSAL(71)	2103.937	3607.283	T	90.00	FX2CA2-052S-1.27DSAL(71)
InChCon10	FX2CA2-052S-1.27DSAL(71)	2103.937	8853.347	T	90.00	FX2CA2-052S-1.27DSAL(71)
InChCon3	FX2CA2-052S-1.27DSAL(71)	2903.937	3607.283	T	90.00	FX2CA2-052S-1.27DSAL(71)
InChCon11	FX2CA2-052S-1.27DSAL(71)	2903.937	8853.347	T	90.00	FX2CA2-052S-1.27DSAL(71)
InChCon4	FX2CA2-052S-1.27DSAL(71)	3703.937	3607.283	T	90.00	FX2CA2-052S-1.27DSAL(71)
InChCon12	FX2CA2-052S-1.27DSAL(71)	3703.937	8853.347	T	90.00	FX2CA2-052S-1.27DSAL(71)
InChCon5	FX2CA2-052S-1.27DSAL(71)	4503.937	3607.283	T	90.00	FX2CA2-052S-1.27DSAL(71)
InChCon13	FX2CA2-052S-1.27DSAL(71)	4503.937	8853.347	T	90.00	FX2CA2-052S-1.27DSAL(71)
InChCon6	FX2CA2-052S-1.27DSAL(71)	5303.937	3607.283	T	90.00	FX2CA2-052S-1.27DSAL(71)
InChCon14	FX2CA2-052S-1.27DSAL(71)	5303.937	8853.347	T	90.00	FX2CA2-052S-1.27DSAL(71)
InChCon7	FX2CA2-052S-1.27DSAL(71)	6103.937	3607.283	T	90.00	FX2CA2-052S-1.27DSAL(71)
InChCon15	FX2CA2-052S-1.27DSAL(71)	6103.937	8853.347	T	90.00	FX2CA2-052S-1.27DSAL(71)
InChCon8	FX2CA2-052S-1.27DSAL(71)	6903.937	3607.283	T	90.00	FX2CA2-052S-1.27DSAL(71)
InChCon16	FX2CA2-052S-1.27DSAL(71)	6903.937	8853.347	T	90.00	FX2CA2-052S-1.27DSAL(71)
TransferCh	FX2CA2-052S-1.27DSAL(71)	9138.78	3813.287	B	180.00	FX2CA2-052S-1.27DSAL(71)
TransferCh	FX2CA2-052S-1.27DSAL(71)	9159.252	4706.595	B	180.00	FX2CA2-052S-1.27DSAL(71)
JEth1	HR961160C	14348.819	9886.221	B	90.00	HR961160C/ARJ148
TrigDes1	LEMO	10826.772	9133.858	T	270.00	LEMO
FastTrig1	LEMO	11161.417	9133.858	T	360.00	LEMO
Test_out3	LEMO	13307.086	8759.844	T	90.00	LEMO
Test_out2	LEMO	13740.157	8759.843	T	90.00	LEMO
Test_out1	LEMO	14173.228	8759.843	T	90.00	LEMO
UsupIn1	PW20-M-R	13838.583	2248.819	B	270.00	PW-20-M-R
FCT_con1	SEAM-40-03.5-S-10-2-A-K-TR	15168.701	6091.929	B	90.00	SEAM-40-03.5-S-10-2-A-K-TR
J1	Xilinx_prog	8484.252	7818.898	B	90.00	JTAG
